userId,movieId,rating
339,1,4.0
290,1,4.0
206,1,5.0
66,1,4.0
277,1,4.0
31,1,5.0
140,1,3.0
130,1,3.0
341,1,5.0
422,1,4.0
401,1,3.5
490,1,3.5
492,1,4.0
73,1,4.5
220,1,5.0
385,1,4.0
357,1,5.0
504,1,4.0
151,1,5.0
43,1,5.0
239,1,4.0
266,1,2.0
276,1,4.0
263,1,4.0
541,1,3.0
32,1,3.0
185,1,4.0
480,1,3.0
234,1,5.0
476,1,4.0
21,1,3.5
584,1,5.0
202,1,4.0
469,1,4.0
63,1,5.0
382,1,4.5
177,1,5.0
477,1,4.0
337,1,4.0
364,1,5.0
132,1,2.0
282,1,4.5
280,1,4.5
107,1,4.0
219,1,3.5
252,1,4.5
604,1,3.0
438,1,4.5
533,1,5.0
179,1,4.0
599,1,3.0
217,1,4.0
5,1,4.0
380,1,5.0
378,1,4.5
372,1,3.0
279,1,3.0
68,1,2.5
328,1,5.0
562,1,4.5
525,1,4.0
596,1,4.0
453,1,5.0
144,1,3.5
600,1,2.5
233,1,3.0
124,1,4.0
57,1,5.0
214,1,3.0
121,1,4.0
514,1,4.0
468,1,4.0
389,1,5.0
182,1,4.0
432,1,2.5
560,1,3.0
570,1,4.0
82,1,2.5
456,1,5.0
171,1,5.0
91,1,4.0
579,1,4.0
411,1,5.0
223,1,3.5
193,1,2.0
19,1,4.0
451,1,5.0
54,1,3.0
240,1,5.0
528,1,2.5
18,1,3.5
45,1,4.0
484,1,4.5
322,1,3.5
443,1,4.0
605,1,4.0
226,1,3.5
119,1,3.5
412,1,2.0
524,1,4.0
7,1,4.5
46,1,5.0
350,1,4.0
166,1,5.0
103,1,4.0
561,1,4.0
359,1,4.0
254,1,4.5
156,1,4.0
1,1,4.0
332,1,4.0
247,1,5.0
573,1,5.0
555,1,4.0
293,1,3.0
587,1,5.0
98,1,4.5
159,1,4.5
178,1,4.0
414,1,4.0
559,1,5.0
396,1,5.0
191,1,4.0
15,1,2.5
298,1,2.0
137,1,4.0
249,1,4.0
517,1,4.0
273,1,5.0
44,1,3.0
291,1,4.0
347,1,5.0
336,1,4.0
597,1,4.0
90,1,3.0
529,1,3.0
367,1,5.0
288,1,4.5
71,1,5.0
78,1,4.0
460,1,4.5
232,1,3.5
213,1,3.5
155,1,3.0
314,1,3.0
27,1,3.0
610,1,5.0
135,1,4.0
269,1,5.0
50,1,3.0
134,1,3.0
603,1,4.0
470,1,4.0
160,1,4.0
216,1,3.0
509,1,4.0
609,1,3.0
141,1,4.0
572,1,4.0
580,1,3.0
89,1,3.0
522,1,3.0
96,1,5.0
420,1,4.0
353,1,5.0
373,1,3.0
93,1,3.0
381,1,3.5
330,1,4.0
434,1,4.0
474,1,4.0
567,1,3.5
436,1,4.0
471,1,5.0
607,1,4.0
323,1,3.5
606,1,2.5
64,1,4.0
448,1,5.0
33,1,3.0
86,1,4.0
186,1,4.0
112,1,3.0
161,1,4.0
483,1,4.0
550,1,4.0
167,1,3.5
270,1,5.0
275,1,5.0
283,1,3.0
534,1,4.0
608,1,2.5
304,1,5.0
292,1,4.0
462,1,1.5
399,1,4.0
590,1,4.0
200,1,3.5
307,1,4.0
264,1,4.0
40,1,5.0
17,1,4.5
488,1,4.5
544,1,3.0
153,1,2.0
274,1,4.0
145,1,5.0
169,1,4.5
334,1,3.5
201,1,5.0
601,1,4.0
76,1,0.5
391,1,3.0
229,1,5.0
500,1,4.0
305,2,3.5
523,2,4.5
288,2,2.0
563,2,2.5
347,2,3.0
274,2,3.5
470,2,3.0
8,2,4.0
169,2,4.0
330,2,1.5
6,2,4.0
68,2,2.5
94,2,4.0
566,2,4.0
284,2,4.0
559,2,4.0
447,2,5.0
135,2,3.0
308,2,3.0
425,2,3.0
18,2,3.0
527,2,4.0
592,2,4.0
153,2,2.0
534,2,4.5
27,2,4.0
359,2,3.5
186,2,4.0
304,2,4.0
122,2,4.0
140,2,3.5
432,2,4.0
373,2,3.0
395,2,3.0
501,2,3.0
570,2,3.5
458,2,4.0
525,2,3.5
149,2,1.0
321,2,5.0
590,2,2.5
322,2,3.0
219,2,2.5
226,2,3.0
477,2,4.0
380,2,5.0
217,2,2.0
221,2,3.5
353,2,4.0
177,2,3.5
307,2,2.5
294,2,3.0
91,2,3.0
276,2,4.0
259,2,2.0
125,2,4.0
160,2,4.0
20,2,3.0
103,2,4.0
448,2,3.0
299,2,3.0
381,2,4.0
298,2,0.5
93,2,5.0
434,2,2.5
323,2,4.0
357,2,3.0
202,2,4.0
608,2,2.0
480,2,3.0
517,2,3.0
230,2,2.5
489,2,2.5
104,2,3.0
232,2,4.0
561,2,4.0
240,2,5.0
318,2,3.5
414,2,3.0
476,2,4.0
497,2,2.5
21,2,3.5
482,2,4.5
117,2,3.0
436,2,4.0
474,2,3.0
586,2,4.0
446,2,3.0
604,2,5.0
484,2,2.5
599,2,2.5
573,2,4.5
475,2,4.5
19,2,3.0
249,2,4.0
426,2,4.5
602,2,4.0
222,2,2.5
411,2,4.0
605,2,3.5
107,2,5.0
594,2,4.0
600,2,4.0
112,2,1.5
512,2,3.0
51,2,4.5
82,2,3.0
483,2,4.0
62,2,4.0
144,2,3.0
151,3,3.0
6,3,5.0
330,3,3.0
100,3,3.5
599,3,1.5
410,3,4.0
501,3,5.0
68,3,2.0
477,3,3.0
19,3,3.0
169,3,5.0
552,3,1.0
116,3,3.5
44,3,3.0
102,3,5.0
321,3,3.0
308,3,0.5
91,3,3.0
588,3,3.0
58,3,3.0
594,3,4.0
337,3,4.0
480,3,2.5
51,3,4.0
269,3,4.0
240,3,4.0
294,3,1.0
288,3,4.0
448,3,3.0
64,3,3.5
414,3,4.0
470,3,3.0
555,3,5.0
289,3,2.5
1,3,4.0
43,3,5.0
270,3,3.0
302,3,3.0
32,3,3.0
492,3,4.0
544,3,3.0
307,3,3.5
608,3,2.0
368,3,3.0
150,3,3.0
42,3,4.0
217,3,1.0
179,3,4.0
590,3,3.0
456,3,3.0
226,3,3.5
117,3,3.0
14,4,3.0
411,4,2.0
162,4,3.0
6,4,3.0
262,4,1.0
84,4,3.0
600,4,1.5
84,5,3.0
604,5,3.0
181,5,3.0
276,5,3.0
600,5,2.5
147,5,4.5
448,5,3.0
66,5,4.0
45,5,3.0
31,5,3.0
483,5,2.5
402,5,3.0
509,5,1.5
490,5,0.5
169,5,5.0
58,5,4.0
492,5,3.0
470,5,3.0
456,5,3.0
170,5,3.0
414,5,2.0
121,5,3.0
117,5,3.0
321,5,3.0
451,5,3.0
270,5,3.0
501,5,3.0
561,5,3.0
111,5,3.5
200,5,4.0
68,5,2.0
590,5,2.0
6,5,5.0
269,5,3.0
107,5,4.0
288,5,2.0
389,5,4.0
474,5,1.5
120,5,4.0
353,5,3.0
43,5,5.0
150,5,3.0
229,5,3.0
489,5,2.0
458,5,3.0
337,5,4.0
103,5,4.0
437,5,2.0
521,5,3.0
599,6,4.5
220,6,3.5
451,6,4.0
602,6,3.0
305,6,3.5
444,6,4.0
312,6,4.0
109,6,3.0
380,6,5.0
470,6,3.0
286,6,4.5
270,6,3.0
199,6,4.0
